model_name,type,margin,right_class,all_class,size_dataset,train/bbox_loss,train/cls_loss,train/dfl_loss,train/num_epochs,train/mean_time_epoch,train/total_time,val/precision,val/recall,val/mAP50,val/mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,test/accuracy,test/precision,test/recall,test/fscore,test/mAP50-95,test/precision-circle,test/recall-circle,test/fscore-circle,test/precision-rect,test/recall-rect,test/fscore-rect,test/mean_confidence,test/mean_IoU,dataset/mean_IoU_train,dataset/mean_IoU_val,dataset/missing_bbox_train,dataset/missing_bbox_val,dataset/wrong_cls_train,dataset/wrong_cls_val
yolo-0_10-100-85-10-bbox_smaller,bbox_smaller,0_10,100,85,10,1.7585,0.89558,1.0518,13,0.174819417183216,2.27265242338181,0.72857,0.70364,0.65951,0.31089,1.76755,0.87406,1.04964,0.565733064206716,0.860870668866608,0.622663680094004,0.722643057286839,0.210337470657413,0.872039205009529,0.823121259958148,0.846874409820585,0.839885998246127,0.422117750762111,0.561853780156926,0.553522363302444,0.653446084418734,0.910163773013008,0.911986785147532,0.146648645327763,0.150421399780139,0,0
yolo-0_15-95-95-100-bbox_larger_smaller,bbox_larger_smaller,0_15,95,95,100,2.2791,1.9996,1.3327,1,4.73185567061106,4.73185567061106,0.53958,0.40922,0.41909,0.14685,2.19442,1.8164,1.34821,0.198367824925436,0.983221476510067,0.199041603936401,0.331063335979967,0.15323923899076,1,0.256617350122985,0.408425604019983,0.95416253716551,0.14144048187461,0.246361513610338,0.297052151156103,0.870054071030848,0.910485375055431,0.909460232649614,0.0501543920391413,0.0486759980795509,0.0498684780290447,0.0488372995846112
yolo-0_15-95-95-100-bbox_larger,bbox_larger,0_15,95,95,100,1.7289,0.8331,1.2046,9,1.27600988988523,11.4840890089671,0.88565,0.93546,0.87561,0.45098,1.74496,0.78898,1.22319,0.319581154361768,0.482917837719458,0.485826019902324,0.484367563609738,0.121422340587706,0.731109398510037,0.731377803884137,0.731243576567318,0.237393356326012,0.240166011679583,0.238771635142043,0.602715222475894,0.608083419040999,0.885883360939403,0.88449568003916,0.0501543920391413,0.0486759980795509,0.0498684780290447,0.0488372995846112
yolo-0_15-95-95-100-bbox_smaller,bbox_smaller,0_15,95,95,100,2.1475,1.1629,1.2106,15,0.86171523835924,12.9257285753886,0.66611,0.37784,0.41109,0.15965,2.19843,1.13491,1.25347,0.331624901612638,0.990974729241877,0.332629530349209,0.498075548468686,0.0848409621018886,0.992144065748127,0.602738720217335,0.749902939228538,0.979815455594002,0.0624012928343189,0.117330202686371,0.514014742335232,0.605306591180839,0.881793938404391,0.88204382060269,0.0501543920391413,0.0486759980795509,0.0498684780290447,0.0488372995846112
yolo-0_15-90-85-10-bbox_larger_smaller,bbox_larger_smaller,0_15,90,85,10,2.1795,1.8854,1.3,5,0.258432490825653,1.29216245412827,0.5143,0.3033,0.3324,0.11652,2.19981,2.02243,1.33764,0.0271877811025646,0.995295698924731,0.0271912752910072,0.0529363405654645,0.0247418476432391,0.995295698924731,0.0543705716068872,0.103108573815574,0,0,0,0.280429680941887,0.905337444789092,0.91137485467526,0.914659009079164,0.150580573815814,0.149322096005863,0.101620135975698,0.102950678440663
yolo-0_15-90-85-10-bbox_larger,bbox_larger,0_15,90,85,10,1.7539,1.2069,1.179,7,0.24637823558989,1.72464764912923,0.73049,0.85535,0.72806,0.35669,1.77037,1.26974,1.19692,0.364399624765478,0.710557604951069,0.427918334373738,0.534153803843377,0.103891551414044,0.796852403232667,0.687763867983406,0.73830026207413,0.492196749542568,0.167958276710618,0.250451831973274,0.416152329536615,0.611450206148114,0.885696879071595,0.888003046213836,0.150580573815814,0.149322096005863,0.101620135975698,0.102950678440663
yolo-0_15-90-85-10-bbox_smaller,bbox_smaller,0_15,90,85,10,2.1817,1.4407,1.1937,14,0.151615507262094,2.12261710166931,0.47335,0.35732,0.32051,0.12473,2.23372,1.41298,1.20838,0.30625022685202,0.963679972588659,0.30982631366357,0.468899787432096,0.0892059649140117,0.963543166503484,0.614192885201366,0.750190574413703,0.97972972972973,0.00532559591581886,0.0105936073059361,0.476239589185338,0.624507281890174,0.881416950869757,0.88558072479634,0.150580573815814,0.149322096005863,0.101620135975698,0.102950678440663
yolo-0_5-90-85-100-bbox_larger_smaller,bbox_larger_smaller,0_5,90,85,100,1.2772,0.84608,0.98005,15,0.829367348617978,12.4405102292697,0.74656,0.87145,0.72832,0.45191,1.28295,0.82835,0.98163,0.986882843271961,0.997795806475513,0.989039033525502,0.993398122706401,0.970525217742396,0.99996328928047,1,0.99998164430331,0.995588455211605,0.978073236125905,0.986753126447429,0.540144192799401,0.974938411310387,0.959337162117879,0.959953817609669,0.14933362799806,0.147745318905344,0.101262168852069,0.0988884796221264
yolo-0_5-90-85-100-bbox_larger,bbox_larger,0_5,90,85,100,0.90429,0.75944,0.86152,4,1.76447084446748,7.05788337786992,0.7678,0.90109,0.74789,0.57989,0.91011,0.72469,0.8599,0.99957786546756,0.999651254565812,0.999926559688613,0.999788888174984,0.620193157965954,1,1,1,0.999302547536892,0.999853087009219,0.999577741467624,0.653422800640281,0.796751082872936,0.961930513854582,0.961797172031462,0.14933362799806,0.147745318905344,0.101262168852069,0.0988884796221264
yolo-0_5-90-85-100-bbox_smaller,bbox_smaller,0_5,90,85,100,1.0296,0.74016,0.86757,13,0.899886775628114,11.6985280831655,0.75498,0.88348,0.74042,0.52543,1.04047,0.72987,0.85951,0.986436903305891,0.994204551726676,0.9921418866816,0.99317214824617,0.59255667092175,0.999889875926878,1,0.999944934931444,0.988491756113755,0.984280309986411,0.986381537782031,0.588833497000704,0.779262682537677,0.942922170010827,0.943321868071161,0.14933362799806,0.147745318905344,0.101262168852069,0.0988884796221264
